"","predator","predator.sp.","Predator.size","Prey","prey.size","Trial.Started","Trial.stopped","eaten","predator.sp.lept","body","tail","predator.names","eaten.numeric","Prey.species"
"219","LL","","","1 Scirtes A","small","21/03/11","23/03/11","0","tan",7,3,"Leptagrion.tan",0,"Scirtes A"
"220","LL","","","1 Trichoptera","","23/03/11","25/03/11","0","tan",7,3,"Leptagrion.tan",0,"Phylloicus bromeliarum"
"221","LM","","","1 Scirtes B","","28/03/11","30/03/11","1","tan",6,2,"Leptagrion.tan",1,"Scirtes B"
"222","LM","","","1 Chironomus detriticula","","30/03/11","03/04/11","1","tan",6,2,"Leptagrion.tan",1,"Chironomus detriticula"
"223","LM","","","1 Trichoptera","","23/03/11","25/03/11","0","tan",6,2,"Leptagrion.tan",0,"Phylloicus bromeliarum"
"224","LM","","","1 Scirtes A","small","21/03/11","23/03/11","1","tan",6,2,"Leptagrion.tan",1,"Scirtes A"
"225","LM","","","1 Monopelopia","","25/03/11","27/03/11","1","tan",6,2,"Leptagrion.tan",1,"Monopelopia"
"226","LN","","","1 Monopelopia","","25/03/11","27/03/11","1","tan",11,3,"Leptagrion.tan",1,"Monopelopia"
"227","LN","","","1 Trichoptera","","23/03/11","25/03/11","1","tan",11,3,"Leptagrion.tan",1,"Phylloicus bromeliarum"
"228","LN","","","1 Scirtes A","small","21/03/11","23/03/11","1","tan",11,3,"Leptagrion.tan",1,"Scirtes A"
"229","LN","","","1 Scirtes B","","28/03/11","30/03/11","1","tan",11,3,"Leptagrion.tan",1,"Scirtes B"
"230","LN","","","1 Chironomus detriticula","","30/03/11","03/04/11","1","tan",11,3,"Leptagrion.tan",1,"Chironomus detriticula"
"231","LO","","","1 Scirtes B","","28/03/11","30/03/11","0","tan",9,3,"Leptagrion.tan",0,"Scirtes B"
"232","LO","","","1 Trichoptera","","23/03/11","25/03/11","0","tan",9,3,"Leptagrion.tan",0,"Phylloicus bromeliarum"
"233","LO","","","1 Chironomus detriticula","","30/03/11","03/04/11","1","tan",9,3,"Leptagrion.tan",1,"Chironomus detriticula"
"234","LO","","","1 Monopelopia","","25/03/11","27/03/11","1","tan",9,3,"Leptagrion.tan",1,"Monopelopia"
"235","LO","","","1 Scirtes A","small","21/03/11","23/03/11","1","tan",9,3,"Leptagrion.tan",1,"Scirtes A"
