"Number","Sp. ","Date","Measuring (body)","Measuring (tail)","Comments","Who used","sp.ID","species","date caught","Length.body (mm)","Length.tail (mm)","number of tails","status","notes"
"L195","andromache",19-Mar,14,5,"ok",,,,,,,,,
"L196","andromache",19-Mar,12,3,"just one tail/one leg less",,,,,,,,,
"L197","andromache",19-Mar,15,5,"ok",,,,,,,,,
"L198","andromache",19-Mar,13,4,"ok",,,,,,,,,
"L199","elongatum",20-Mar,8,3,"ok",,,,,,,,,
"L200","elongatum",20-Mar,10,4,"ok",,,,,,,,,
"L201","elongatum",20-Mar,12,5,"one tail less",,,,,,,,,
"L202","andromache",20-Mar,8.5,,"without tails",,,,,,,,,
"L203","andromache",20-Mar,11,4,"ok",,,,,,,,,
"L204","elongatum",24-Mar,12,4,"ok",,,,,,,,,
"L205","andromache",24-Mar,6,2,"ok",,,,,,,,,
"L206","elongatum",24-Mar,9,3,"ok",,,,,,,,,
"L207","andromache",24-Mar,4.5,2.5,"ok",,,,,,,,,
"L208","andromache",24-Mar,14,5,"ok",,,,,,,,,
