Taxa	original_name	Biomass.avg.sp	Brom 3	Brom 46	Brom 95	Brom 102	Brom 16	Brom 48	Brom 85	Brom 64	Brom 82	Brom 77	Brom 7	Brom 1	Brom 4	Brom 53	Brom 40	Brom 79	Brom A	Brom B	Brom C	Brom D	Brom E	Brom F	Brom G	Brom H	Brom I	
Trentepohlia sp.	Tipulid sp A (grey) + B (yellow): same species	0.000225	0	3	0	2	3	0	2	1	0	1	0	2	0	0	4	3	0	0	0	2	0	0	0	1	0	# small
Trentepohlia sp.	Tipulid sp A (grey) + B (yellow): same species	0.0008	1	0	0	0	0	5	0	1	0	2	0	7	0	1	2	9	0	0	0	0	0	0	0	0	0	# small-med
Trentepohlia sp.	Tipulid sp A (grey) + B (yellow): same species	0.0019605278	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	# med
Trentepohlia sp.	Tipulid sp A (grey) + B (yellow): same species	0.0031365081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	# med-large
Trentepohlia sp.	Tipulid sp A (grey) + B (yellow): same species	0.0046480066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	# large
Trentepohlia sp.	Tipulid sp A (grey) + B (yellow): same species	0.0058539002	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	# Huge
Trentepohlia sp.	Tipulid sp A (grey) + B (yellow): same species	0.0058539002	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	# pupae
Dolichopodidae spA	Dolichopodidae spA (Thick)	0.007	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	# Huge
Orthocladiinae sp.2 with some Orthocladiinae sp. 1 mixed in	White chironomid sp C	3.77946447649372E-05	1	0	0	0	0	0	1	2	0	1	0	6	3	0	2	2	0	15	3	0	5	0	0	0	0	# larvae
Orthocladiinae sp.2 with some Orthocladiinae sp. 1 mixed in	White chironomid sp C	3.77946447649372E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	# pupae
Pseudochironomus	White chironomid sp K (tiny second eye)	3.77946447649372E-05	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	#
Leptagrion andromache	Zygopter sp A (striped)	2.83398789060945E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	# 0.15
Leptagrion andromache	Zygopter sp A (striped)	5.83051423501568E-05	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	# 0.2
Leptagrion andromache	Zygopter sp A (striped)	0.0001020301	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	# 0.25
Leptagrion andromache	Zygopter sp A (striped)	0.0001611725	0	0	0	0	1	0	0	0	0	0	0	3	3	0	0	0	0	0	1	1	0	0	0	0	0	# 0.3
Leptagrion andromache	Zygopter sp A (striped)	0.0002372321	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	# 0.35
Leptagrion andromache	Zygopter sp A (striped)	0.0003315887	0	1	0	0	0	3	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	# 0.4
Leptagrion andromache	Zygopter sp A (striped)	0.0005802578	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	# 0.5
Leptagrion andromache	Zygopter sp A (striped)	0.0007369219	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	# 0.55
Leptagrion andromache	Zygopter sp A (striped)	0.0009166084	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	# 0.6
Leptagrion andromache	Zygopter sp A (striped)	0.0013491688	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	# 0.7
Leptagrion andromache	Zygopter sp A (striped)	0.0018857873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	# 0.8
Leptagrion andromache	Zygopter sp A (striped)	0.002533774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	# 0.9
Leptagrion andromache	Zygopter sp A (striped)	0.0033	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	# 1
Leptagrion andromache	Zygopter sp A (striped)	0.0041909683	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	# 1.1
Leptagrion andromache	Zygopter sp A (striped)	0.0052128683	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	# 1.2
Leptagrion andromache	Zygopter sp A (striped)	0.0063716173	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	# 1.3
Leptagrion andromache	Zygopter sp A (striped)	0.0076728943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	# 1.4
Leptagrion andromache	Zygopter sp A (striped)	0.0091221664	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	# 1.5
